 0.015 	-0.032 	 0.079 	-0.034 	-0.024 	-0.100 	 0.046 	-0.009 	-0.003 	 0.034 	-0.036 	-0.034 	 0.045 	-0.075 	-0.029 	-0.050 	 0.078 	-0.018 	 0.018 	-0.027 	
-0.049 	-0.051 	-0.045 	-0.008 	 0.045 	 0.046 	-0.020 	-0.007 	 0.031 	-0.071 	 0.009 	-0.020 	-0.005 	 0.045 	 0.044 	-0.020 	-0.013 	-0.034 	-0.021 	-0.068 	
-0.002 	 0.038 	 0.013 	 0.039 	 0.035 	-0.009 	-0.007 	-0.008 	-0.029 	 0.011 	-0.043 	-0.005 	-0.003 	-0.032 	 0.005 	 0.053 	 0.014 	 0.027 	-0.000 	 0.043 	
 0.004 	 0.068 	 0.067 	-0.056 	 0.043 	-0.003 	 0.031 	-0.029 	-0.053 	 0.013 	-0.059 	-0.009 	 0.028 	-0.036 	 0.004 	-0.016 	 0.059 	 0.028 	 0.014 	 0.057 	
-0.008 	 0.078 	-0.093 	 0.014 	 0.030 	 0.034 	-0.071 	 0.011 	 0.013 	 0.001 	 0.015 	 0.031 	-0.063 	-0.014 	 0.007 	 0.056 	-0.084 	 0.041 	-0.014 	 0.043 	
-0.009 	 0.052 	 0.046 	-0.087 	 0.008 	-0.036 	 0.009 	-0.043 	-0.059 	 0.015 	-0.063 	-0.020 	 0.008 	-0.066 	-0.027 	-0.042 	 0.035 	 0.003 	-0.015 	 0.022 	
 0.024 	 0.046 	-0.001 	 0.008 	 0.003 	-0.034 	-0.020 	-0.005 	-0.009 	 0.031 	-0.020 	-0.000 	-0.015 	-0.056 	-0.021 	 0.025 	-0.004 	 0.020 	 0.010 	 0.054 	
 0.021 	-0.002 	-0.014 	-0.003 	 0.046 	 0.045 	-0.005 	-0.003 	 0.028 	-0.063 	 0.008 	-0.015 	 0.007 	 0.043 	 0.045 	-0.020 	-0.003 	-0.005 	 0.043 	 0.016 	
 0.038 	-0.003 	 0.116 	 0.008 	 0.018 	-0.075 	 0.045 	-0.032 	-0.036 	-0.014 	-0.066 	-0.056 	 0.043 	-0.057 	 0.007 	-0.025 	 0.093 	-0.001 	 0.062 	 0.026 	
-0.042 	-0.087 	 0.001 	-0.019 	 0.056 	-0.029 	 0.044 	 0.005 	 0.004 	 0.007 	-0.027 	-0.021 	 0.045 	 0.007 	 0.069 	-0.035 	-0.005 	-0.048 	-0.001 	-0.074 	
-0.012 	 0.028 	-0.078 	 0.065 	-0.049 	-0.050 	-0.020 	 0.053 	-0.016 	 0.056 	-0.042 	 0.025 	-0.020 	-0.025 	-0.035 	 0.064 	-0.102 	 0.060 	-0.027 	-0.021 	
-0.002 	 0.048 	 0.015 	-0.111 	-0.026 	 0.078 	-0.013 	 0.014 	 0.059 	-0.084 	 0.035 	-0.004 	-0.003 	 0.093 	-0.005 	-0.102 	 0.019 	 0.002 	 0.005 	 0.002 	
 0.035 	 0.048 	 0.001 	 0.048 	-0.038 	-0.018 	-0.034 	 0.027 	 0.028 	 0.041 	 0.003 	 0.020 	-0.005 	-0.001 	-0.048 	 0.060 	 0.002 	-0.017 	-0.042 	 0.124 	
-0.008 	-0.026 	-0.009 	-0.003 	 0.033 	 0.018 	-0.021 	-0.000 	 0.014 	-0.014 	-0.015 	 0.010 	 0.043 	 0.062 	-0.001 	-0.027 	 0.005 	-0.042 	-0.050 	 0.028 	
 0.025 	 0.067 	 0.006 	 0.061 	-0.011 	-0.027 	-0.068 	 0.043 	 0.057 	 0.043 	 0.022 	 0.054 	 0.016 	 0.026 	-0.074 	-0.021 	 0.002 	 0.124 	 0.028 	 0.019 	
